original_smiles,cc50_uM,canonical_smiles,inchikey,Label,split
CN1CCC(Cc2cccc(CNC3(c4ccc(F)cc4O)CCCC3)c2)CC1,30.0,CN1CCC(Cc2cccc(CNC3(c4ccc(F)cc4O)CCCC3)c2)CC1,JSYRBALJOIKCND-UHFFFAOYSA-N,0,train
COc1cccc(Nc2[nH]nc3c2Cc2cc(OC)c(OC)cc2-3)c1,0.011,COc1cccc(Nc2[nH]nc3c2Cc2cc(OC)c(OC)cc2-3)c1,UTQJHQHYLXMCNU-UHFFFAOYSA-N,1,train
CCOP(=O)(OCC)C(NC(=O)C(C)Oc1ccc2c(c1O)C(=O)c1ccccc1C2=O)c1ccc(OC)cc1,50.0,CCOP(=O)(OCC)C(NC(=O)C(C)Oc1ccc2c(c1O)C(=O)c1ccccc1C2=O)c1ccc(OC)cc1,WDYIUGPZBKYXEJ-UHFFFAOYSA-N,0,train
CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,500.0,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,YKPYIPVDTNNYCN-INIZCTEOSA-N,0,train
CN(C)[C@H]1C[C@@]23CC[C@@]4(O2)C(=CC[C@]2(C)[C@@H](c5ccc6ccncc6c5)CC[C@H]24)C=C3[C@@H](O)[C@@H]1O,0.0018,CN(C)[C@H]1C[C@@]23CC[C@@]4(O2)C(=CC[C@]2(C)[C@@H](c5ccc6ccncc6c5)CC[C@H]24)C=C3[C@@H](O)[C@@H]1O,KSGZCKSNTAJOJS-DZBMUNJRSA-N,1,train
Cc1ccc2cc(/C=C/C(=O)c3ccsc3)c(Cl)nc2c1,0.10694,Cc1ccc2cc(/C=C/C(=O)c3ccsc3)c(Cl)nc2c1,ZDGJHNFTMQRPSK-SNAWJCMRSA-N,1,train
Cc1ccc(Sc2cccc3sc(C(N)=O)cc23)cc1,20.0,Cc1ccc(Sc2cccc3sc(C(N)=O)cc23)cc1,ZXSNJMQNZVKFAI-UHFFFAOYSA-N,0,train
O=C(c1ccc(NC2CCCCC2)c(NCc2ccccc2)c1)N1CCN(Cc2ccncc2)CC1,0.79,O=C(c1ccc(NC2CCCCC2)c(NCc2ccccc2)c1)N1CCN(Cc2ccncc2)CC1,NDSGWSWKHPODBP-UHFFFAOYSA-N,1,train
CC(C)c1ccc(Oc2cncc3sc(C(N)=O)cc23)cc1,34.0,CC(C)c1ccc(Oc2cncc3sc(C(N)=O)cc23)cc1,JLBMTUOIXPSEBV-UHFFFAOYSA-N,0,train
COc1ccc(C(N)=O)cc1/C=C/c1ccccc1F,2.0,COc1ccc(C(N)=O)cc1/C=C/c1ccccc1F,SZEOLLDDRFRONJ-VOTSOKGWSA-N,1,train
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)N(Cc3cn(-c4ccccc4)nn3)[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,250.0,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)N(Cc3cn(-c4ccccc4)nn3)[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,JYIDCAXCLBBRNI-QNTXSVLTSA-N,0,train
O=C(CCCCCCCNc1nn2c(=O)c3ccccc3nc2c2ccccc12)NO,1.68,O=C(CCCCCCCNc1nn2c(=O)c3ccccc3nc2c2ccccc12)NO,RVZPEXMXOYSXID-UHFFFAOYSA-N,1,train
C[C@H]1[C@@H]2CC[C@@H](C)[C@@H]3CC[C@]4(C)OO[C@@]23[C@H](O[C@@H]1S(=O)(=O)c1ccccc1)O4,1.74,C[C@H]1[C@@H]2CC[C@@H](C)[C@@H]3CC[C@]4(C)OO[C@@]23[C@H](O[C@@H]1S(=O)(=O)c1ccccc1)O4,RVHHVKGXJYWAFY-URBOQICFSA-N,1,train
Cc1cc(OCc2cccc(C#N)c2)ccc1Cl,11.0,Cc1cc(OCc2cccc(C#N)c2)ccc1Cl,XHPDLMPGCFXJND-UHFFFAOYSA-N,0,train
Cc1cc2c(cc(O)c1=O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3,20.0,Cc1cc2c(cc(O)c1=O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3,QCERTNNJMAPQRG-BXWFABGCSA-N,0,train
CN1CCN(Cc2cc(CNC3(c4ccccc4)CCCC3)ccc2O)CC1,100.0,CN1CCN(Cc2cc(CNC3(c4ccccc4)CCCC3)ccc2O)CC1,BFNPKJDXPRPTIL-UHFFFAOYSA-N,0,train
CN1c2ccc(F)cc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21,0.26,CN1c2ccc(F)cc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21,PLPWVVCBUWODOH-UHFFFAOYSA-N,1,train
Cc1cnc(C(=O)Nc2cccc(C(=O)c3ccc4c(/C=C/c5ccccc5)n[nH]c4c3)c2)s1,0.0068,Cc1cnc(C(=O)Nc2cccc(C(=O)c3ccc4c(/C=C/c5ccccc5)n[nH]c4c3)c2)s1,HKOHPHDULXEUEN-JLHYYAGUSA-N,1,train
Nc1ccccc1NC(=O)c1ccc(CN2Cc3ccccc3C2=O)cc1,37.0,Nc1ccccc1NC(=O)c1ccc(CN2Cc3ccccc3C2=O)cc1,KCSVRKRCTROBLM-UHFFFAOYSA-N,0,train
O=C(OCCCOC(=O)c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1,84.0,O=C(OCCCOC(=O)c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1,YOKONGUPKOBDKD-UHFFFAOYSA-N,0,train
COc1ccc2c(c1)C(OC(C)C)=C(C(N)=O)S2(=O)=O,4.0,COc1ccc2c(c1)C(OC(C)C)=C(C(N)=O)S2(=O)=O,LJSGDQNLEZXGJU-UHFFFAOYSA-N,1,train
Cn1ncc2c(Oc3ccc4c(c3)nc(Nc3ccc(Cl)c(C(F)(F)F)c3)n4C)ncnc21,13.47,Cn1ncc2c(Oc3ccc4c(c3)nc(Nc3ccc(Cl)c(C(F)(F)F)c3)n4C)ncnc21,OTKAXLUCBDOQOT-UHFFFAOYSA-N,0,train
O=C(CCCCCNCc1cc(Cl)c2cccnc2c1O)Nc1ccccc1,50.0,O=C(CCCCCNCc1cc(Cl)c2cccnc2c1O)Nc1ccccc1,ZBSNKMXWTMTTIP-UHFFFAOYSA-N,0,train
Cc1c(Cc2ccc(C(F)(F)F)cc2)c(=O)oc2cc(OCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)ccc12,3.9,Cc1c(Cc2ccc(C(F)(F)F)cc2)c(=O)oc2cc(OCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)ccc12,KSZUAGOFAGOBFJ-UHFFFAOYSA-N,1,train
O=C1Nc2cc(Cl)ccc2/C1=C(/Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,0.049,O=C1Nc2cc(Cl)ccc2/C1=C(/Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,VQUBRJKCPJZARY-QPLCGJKRSA-N,1,train
Cc1nc(C)c(C)nc1C,600.0,Cc1nc(C)c(C)nc1C,FINHMKGKINIASC-UHFFFAOYSA-N,0,train
CCC1=C[C@@H]2CN(C1)[C@H](C(=O)NC(C)(C)C)[C@H](C(=O)OC)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,0.07,CCC1=C[C@@H]2CN(C1)[C@H](C(=O)NC(C)(C)C)[C@H](C(=O)OC)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,NCXVCMMXIPFTAI-WUFFRZSXSA-N,1,train
